1_2抵抗力,1弱さ,2壁弱さ,3_ST優位,3壁弱さ,3選手力,4_ST優位,4攻撃力_非motor,4選手力,5選手力,bet_hit,composite_odds,date,head_hit,model,race,race_code,return,score,tickets,venue
0.871,,,,,,,0.614,,0.679,0,13.05,2026-08-27,0,5頭展開,12R,202608270412,0,63.32,20,04
,,0.694,0.625,,0.729,,,,,0,5.0,2026-08-27,0,3まくり,09R,202608270809,0,45.72,13,08
,,0.658,0.85,,0.767,,,,,0,5.07,2026-08-27,0,3まくり,09R,202608270909,0,72.29,13,09
,,0.633,1.0,,0.763,,,,,0,5.03,2026-08-27,0,3まくり,10R,202608270910,0,62.08,10,09
,,0.56,0.625,,0.849,,,,,0,5.0,2026-08-27,0,3まくり,12R,202608271412,0,60.65,12,14
,,,,0.587,,0.833,,0.877,,0,5.07,2026-08-27,0,4カドまくり,05R,202608271505,0,67.22,11,15
,,,,0.56,,0.667,,0.795,,0,5.09,2026-08-27,0,4カドまくり,06R,202608271506,0,58.83,14,15
0.739,,,,,,,0.551,,0.525,0,13.3,2026-08-27,0,5頭展開,07R,202608271507,0,53.72,20,15
0.793,,,,,,,0.748,,0.531,0,21.59,2026-08-27,0,5頭展開,04R,202608271704,0,65.91,20,17
0.791,,,,,,,0.75,,0.557,0,21.2,2026-08-27,0,5頭展開,12R,202608272212,0,63.84,20,22
,,,,0.693,,0.8,,0.618,,0,5.02,2026-08-28,0,4カドまくり,01R,202608280401,0,68.52,12,04
,,0.829,0.85,,0.878,,,,,0,5.08,2026-08-28,0,3まくり,06R,202608280506,0,49.17,6,05
,,,,0.587,,0.867,,0.633,,0,8.25,2026-08-28,0,4カドまくり,09R,202608280509,0,55.65,20,05
,0.517,0.45,1.0,,0.604,,,,,0,5.09,2026-08-28,0,3まくり差し,04R,202608280704,0,68.56,13,07
,,,,0.719,,0.867,,0.717,,0,5.01,2026-08-28,0,4カドまくり,08R,202608280708,0,49.29,8,07
0.788,,,,,,,0.708,,0.544,0,13.67,2026-08-28,0,5頭展開,09R,202608280709,0,69.37,20,07
0.775,,,,,,,0.819,,0.525,0,10.12,2026-08-28,0,5頭展開,11R,202608280711,0,61.57,20,07
,,,,0.693,,0.6,,0.524,,0,7.94,2026-08-28,0,4カドまくり,01R,202608280901,0,47.92,20,09
,,0.792,0.85,,0.674,,,,,0,5.01,2026-08-28,0,3まくり,03R,202608280903,0,62.54,13,09
,,,,0.639,,0.933,,0.577,,0,7.17,2026-08-28,0,4カドまくり,12R,202608280912,0,71.63,20,09
0.666,,,,,,,0.63,,0.538,0,5.03,2026-08-28,0,5頭展開,01R,202608281001,0,63.05,6,10
,,0.853,0.85,,0.501,,,,,1,5.06,2026-08-28,1,3まくり,03R,202608281003,30920,60.96,13,10
,,0.571,0.908,,0.619,,,,,0,5.01,2026-08-28,0,3まくり,04R,202608281004,0,60.75,14,10
,,0.597,0.925,,0.812,,,,,0,5.07,2026-08-28,0,3まくり,07R,202608281007,0,62.86,12,10
,,0.694,0.85,,0.903,,,,,0,5.01,2026-08-28,0,3まくり,03R,202608281103,0,65.04,8,11
0.727,,,,,,,0.622,,0.51,0,10.23,2026-08-28,0,5頭展開,06R,202608281106,0,62.13,20,11
,,0.633,1.0,,0.51,,,,,0,7.18,2026-08-28,0,3まくり,11R,202608281111,0,51.77,20,11
,,0.56,1.0,,0.722,,,,,0,5.11,2026-08-28,0,3まくり,02R,202608281302,0,55.1,7,13
,,,,0.747,,1.0,,0.711,,0,5.02,2026-08-28,0,4カドまくり,04R,202608281304,0,66.91,13,13
,,,,0.76,,0.8,,0.754,,0,5.0,2026-08-28,0,4カドまくり,06R,202608281306,0,71.82,9,13
,,,,0.56,,0.6,,1.0,,0,5.04,2026-08-28,0,4カドまくり,07R,202608281307,0,62.68,7,13
0.68,,,,,,,0.686,,0.79,1,9.6,2026-08-28,1,5頭展開,07R,202608281307,150480,56.98,20,13
0.733,,,,,,,0.675,,0.726,0,23.77,2026-08-28,0,5頭展開,09R,202608281309,0,61.39,20,13
,,0.731,0.55,,0.861,,,,,0,5.03,2026-08-28,0,3まくり,04R,202608281404,0,45.66,6,14
0.839,,,,,,,0.609,,0.524,0,8.38,2026-08-28,0,5頭展開,06R,202608281406,0,62.72,20,14
0.797,,,,,,,0.573,,0.513,0,12.01,2026-08-28,0,5頭展開,08R,202608281408,0,55.42,20,14
